# Others
30	5727
10	2213
1	3360
10	5986
1	8776
10	5988
30	2501
10	2295
1	2815
1	14811
1	14691
99	7731
9	7730
10	9964
10	2875
10	2999
10	2955
10	2903
10	7698
1	3834
1	3896
1	3874
1	3848
1	2755
3	3542
10	3748
30	5731
10	2927
10	2959
10	3717
10	7692
1	3920
1	3800
10	3798
1	3860
1	3876
1	3902
1	13256
10	13955
1	3469
1	8774
1	7211
1	4310
50	13998
10	7696
1	5166
1	6841
10	5991
30	13197
10	5985
10	3044
10	3045
10	2800
1	2805
10	7686
10	2287
1	3381
10	5859
30	3090
1	8781
99	2624
10	2288
1	2810
10	13105
10	2381
10	1376
10	1380
10	1382
1	13787
1	9771
1	12185
1	13195
1	14692
1	14158
1	14694
1	8760
50	2513
1	8775
1	4645
1	14873
1	4245
1	5603
10	13228
30	12509
1	12544
10	3276
1	3466
1	13257
10	13792
10	4549
10	3279
50	13994
1	2579
1	13106
10	5990
10	1381
1	13793
50	12550
30	2505
30	5732
10	2963
10	7695
1	3878
10	7697
3	3543
10	5175
10	4527
10	7687
1	3934
1	14546
30	2769
1	2799
30	12546
1	13610
1	3027
10	3024
1	3349
1	4311
30	2511
1	14796
10	3540
10	5984
30	12511
10	5992
10	5994
10	7689
1	7651
30	13196
1	2374
1	2375
1	5426
1	14042
10	13954
1	2567
10	7374
10	2777
1	5793
10	7688
1	4426
1	5358
1	5361
10	7691
1	14828
10	5851
1	3470
10	2214
10	2871
10	3741
10	2995
10	2919
10	4525
10	2947
1	3365
10	2895
10	3713
10	7685
1	3832
1	3916
1	3894
1	3856
1	3870
1	12482
10	12480
1	3844
10	3714
1	3900
1	14044
10	13956
1	14820
10	2286
1	3375
10	2285
1	3370
30	12968
30	5728
10	2867
10	3738
10	2991
10	3765
10	2943
10	2891
10	3720
10	7684
1	3788
10	3786
1	12492
10	12490
1	3830
1	3914
1	3796
10	3794
1	3892
1	3930
1	13264
10	13262
1	3868
1	3842
1	3904
10	5987
10	2578
1	5827
1	5828
1	5829
1	13439
1	9052
10	3039
1	4480
1	7714
1	7708
1	7712
1	7702
1	7711
1	7713
1	7703
1	7705
1	7704
1	7707
1	7701
1	7700
1	7706
1	7710
1	7709
1	7699
1	9221
1	14695
1	14914
1	14693
10	13227
3	3545
10	3751
10	3762
10	2923
10	2951
10	2899
10	3727
10	7690
1	3922
1	3928
1	3858
1	3872
1	3846
1	3908
1	3548
10	3280
10	2304
3	3541
10	3744
10	2983
10	3768
30	5730
10	2911
10	2935
10	2883
10	3723
10	7694
1	12489
10	12487
10	2626
1	3824
1	3022
10	3019
10	3745
1	3918
10	2984
1	3888
10	3769
1	3932
10	2912
1	3852
10	2936
1	3864
10	2884
1	3838
10	3724
1	3906
1	12905
1	4540
1	4532
1	12902
1	12900
1	12898
1	12899
1	4544
1	4536
10	3277
10	2389
10	5996
5	9261
10	1379
1	8777
10	2794
10	5995
10	1374
1	14043
10	3040
1	2756
1	5360
10	3278
30	12513
10	3539
30	2767
10	13104
1	2642
10	5983
30	2502
30	12510
1	8773
50	13997
10	3034
10	3035
10	5982
1	4411
1	5359
10	5932
10	5989
1	2750
1	8778
1	5604
10	2570
10	2649
1	9616
1	14829
1	13766
1	9050
1	9049
1	9051
1	13346
1	2545
30	2500
1	14816
1000	7734
1	11140
1	13107
10	1375
30	12551
10	5993
1	14030
10	3263
30	12514
1	8780
1	4642
1	4643
1	5427
1	2546
50	13996
10	3029
10	3030
10	2305
10	3730
10	2979
10	3754
10	2907
10	4528
10	2931
10	2879
10	3709
10	7693
1	2861
10	2820
10	2629
1	3826
10	3731
1	3910
10	2980
1	3886
10	3755
1	3924
10	2908
1	3850
1	13350
10	13348
10	2932
1	3862
